OrderId,Date,Region,SalesPerson,Product,Category,Quantity,UnitPrice,Discount,CostPrice
101,2024-01-05,East,Alice,Laptop,Electronics,2,1200,0.10,900
102,2024-01-05,West,Bob,Mouse,Accessories,10,25,0.00,15
103,2024-01-10,North,Charlie,Keyboard,Accessories,5,45,0.05,30
104,2024-01-15,South,David,Monitor,Electronics,1,300,0.10,200
105,2024-01-20,East,Alice,Headphones,Electronics,3,80,0.20,50
106,2024-02-01,West,Bob,Laptop,Electronics,1,1300,0.05,1000
107,2024-02-03,North,Eva,Desk,Furniture,2,150,0.00,100
108,2024-02-10,South,David,Chair,Furniture,4,90,0.10,60
109,2024-02-12,East,Alice,Keyboard,Accessories,6,40,0.00,25
110,2024-02-15,West,Bob,Monitor,Electronics,2,280,0.10,180
111,2024-02-18,South,David,Mouse,Accessories,8,22,0.00,12
112,2024-02-25,North,Eva,Laptop,Electronics,1,1400,0.08,1100
113,2024-03-03,West,Bob,Chair,Furniture,3,100,0.05,70
114,2024-03-05,East,Alice,Desk,Furniture,1,200,0.10,120
115,2024-03-10,South,David,Laptop,Electronics,2,1250,0.12,950
116,2024-03-12,North,Charlie,Headphones,Electronics,4,95,0.00,60
117,2024-03-15,West,Bob,Keyboard,Accessories,7,38,0.05,25
118,2024-03-18,East,Alice,Mouse,Accessories,15,24,0.00,15
119,2024-03-20,South,David,Monitor,Electronics,2,310,0.15,200
120,2024-03-22,North,Eva,Chair,Furniture,5,85,0.00,60
121,2024-04-01,West,Bob,Laptop,Electronics,1,1350,0.10,1000
122,2024-04-03,East,Alice,Keyboard,Accessories,4,42,0.00,25
123,2024-04-05,South,David,Desk,Furniture,2,180,0.08,120
124,2024-04-07,North,Charlie,Mouse,Accessories,12,23,0.00,15
125,2024-04-10,East,Alice,Monitor,Electronics,3,290,0.12,180
126,2024-04-12,South,David,Headphones,Electronics,6,88,0.10,55
127,2024-04-15,West,Bob,Desk,Furniture,2,160,0.05,100
128,2024-04-20,North,Eva,Laptop,Electronics,2,1500,0.10,1200
129,2024-04-25,East,Alice,Mouse,Accessories,20,22,0.00,12
130,2024-05-01,South,David,Chair,Furniture,3,110,0.10,70
131,2024-05-03,West,Bob,Monitor,Electronics,1,320,0.10,210
132,2024-05-05,East,Alice,Laptop,Electronics,1,1450,0.07,1100
133,2024-05-07,North,Charlie,Chair,Furniture,4,95,0.00,60
134,2024-05-10,South,David,Keyboard,Accessories,5,39,0.05,25
135,2024-05-12,East,Alice,Desk,Furniture,1,210,0.10,140
136,2024-05-15,North,Eva,Mouse,Accessories,18,24,0.00,14
137,2024-05-18,West,Bob,Headphones,Electronics,3,90,0.10,55
138,2024-05-20,South,David,Laptop,Electronics,1,1550,0.12,1200
139,2024-06-01,East,Alice,Monitor,Electronics,2,330,0.15,210
140,2024-06-03,West,Bob,Chair,Furniture,6,105,0.05,75
141,2024-06-05,North,Charlie,Keyboard,Accessories,8,40,0.00,25
142,2024-06-07,South,David,Mouse,Accessories,25,20,0.00,12
143,2024-06-10,East,Alice,Desk,Furniture,2,190,0.10,120
144,2024-06-12,North,Eva,Laptop,Electronics,1,1600,0.10,1300
145,2024-06-15,West,Bob,Monitor,Electronics,3,300,0.10,220
146,2024-06-18,South,David,Chair,Furniture,4,100,0.08,70
147,2024-06-20,East,Alice,Keyboard,Accessories,10,38,0.00,25
148,2024-06-22,North,Charlie,Headphones,Electronics,2,85,0.10,55
149,2024-06-25,South,David,Laptop,Electronics,1,1700,0.10,1400
150,2024-06-28,West,Bob,Mouse,Accessories,30,19,0.00,12
