OrderId,Date,Region,SalesPerson,Product,Category,Quantity,UnitPrice,Discount,CostPrice
101,2024-01-05,East,Alice,Laptop,Electronics,2,1200,0.10,900
102,2024-01-05,West,Bob,Mouse,Accessories,10,25,0.00,15
103,2024-01-10,North,Charlie,Keyboard,Accessories,5,45,0.05,30
104,2024-01-15,South,David,Monitor,Electronics,1,300,0.10,200
105,2024-01-20,East,Alice,Headphones,Electronics,3,80,0.20,50
106,2024-02-01,West,Bob,Laptop,Electronics,1,1300,0.05,1000
107,2024-02-03,North,Eva,Desk,Furniture,2,150,0.00,100
108,2024-02-10,South,David,Chair,Furniture,4,90,0.10,60
109,2024-02-12,East,Alice,Keyboard,Accessories,6,40,0.00,25
110,2024-02-15,West,Bob,Monitor,Electronics,2,280,0.10,180
111,2024-02-18,South,David,Mouse,Accessories,8,22,0.00,12
112,2024-02-25,North,Eva,Laptop,Electronics,1,1400,0.08,1100
113,2024-03-03,West,Bob,Chair,Furniture,3,100,0.05,70
114,2024-03-05,East,Alice,Desk,Furniture,1,200,0.10,120
115,2024-03-10,South,David,Laptop,Electronics,2,1250,0.12,950
116,2024-03-12,North,Charlie,Headphones,Electronics,4,95,0.00,60
117,2024-03-15,West,Bob,Keyboard,Accessories,7,38,0.05,25
118,2024-03-18,East,Alice,Mouse,Accessories,15,24,0.00,15
119,2024-03-20,South,David,Monitor,Electronics,2,310,0.15,200
120,2024-03-22,North,Eva,Chair,Furniture,5,85,0.00,60
121,2024-04-01,West,Bob,Laptop,Electronics,1,1350,0.10,1000
122,2024-04-03,East,Alice,Keyboard,Accessories,4,42,0.00,25
123,2024-04-05,South,David,Desk,Furniture,2,180,0.08,120
124,2024-04-07,North,Charlie,Mouse,Accessories,12,23,0.00,15
125,2024-04-10,East,Alice,Monitor,Electronics,3,290,0.12,180
126,2024-04-12,South,David,Headphones,Electronics,6,88,0.10,55
127,2024-04-15,West,Bob,Desk,Furniture,2,160,0.05,100
128,2024-04-20,North,Eva,Laptop,Electronics,2,1500,0.10,1200
129,2024-04-25,East,Alice,Mouse,Accessories,20,22,0.00,12
130,2024-05-01,South,David,Chair,Furniture,3,110,0.10,70
131,2024-05-03,West,Bob,Monitor,Electronics,1,320,0.10,210
132,2024-05-05,East,Alice,Laptop,Electronics,1,1450,0.07,1100
133,2024-05-07,North,Charlie,Chair,Furniture,4,95,0.00,60
134,2024-05-10,South,David,Keyboard,Accessories,5,39,0.05,25
135,2024-05-12,East,Alice,Desk,Furniture,1,210,0.10,140
136,2024-05-15,North,Eva,Mouse,Accessories,18,24,0.00,14
137,2024-05-18,West,Bob,Headphones,Electronics,3,90,0.10,55
138,2024-05-20,South,David,Laptop,Electronics,1,1550,0.12,1200
139,2024-06-01,East,Alice,Monitor,Electronics,2,330,0.15,210
140,2024-06-03,West,Bob,Chair,Furniture,6,105,0.05,75
141,2024-06-05,North,Charlie,Keyboard,Accessories,8,40,0.00,25
142,2024-06-07,South,David,Mouse,Accessories,25,20,0.00,12
143,2024-06-10,East,Alice,Desk,Furniture,2,190,0.10,120
144,2024-06-12,North,Eva,Laptop,Electronics,1,1600,0.10,1300
145,2024-06-15,West,Bob,Monitor,Electronics,3,300,0.10,220
146,2024-06-18,South,David,Chair,Furniture,4,100,0.08,70
147,2024-06-20,East,Alice,Keyboard,Accessories,10,38,0.00,25
148,2024-06-22,North,Charlie,Headphones,Electronics,2,85,0.10,55
149,2024-06-25,South,David,Laptop,Electronics,1,1700,0.10,1400
150,2024-06-28,West,Bob,Mouse,Accessories,30,19,0.00,12
""
151,2024-05-17,South,Charlie,Desk,Furniture,17,212.05,0,165.18
152,2024-01-07,East,Charlie,Desk,Furniture,13,191.42,0.15,142.15
153,2024-06-11,North,Liam,Monitor,Electronics,8,338.23,0.2,247.37
154,2024-06-14,East,Liam,Desk,Furniture,20,288.82,0.2,95.26
155,2024-04-16,North,Liam,Laptop,Electronics,28,1574.1,0.15,1180.07
156,2024-05-03,North,Eva,Keyboard,Accessories,20,35.2,0.1,33.69
157,2024-05-16,North,David,Headphones,Electronics,9,114.44,0.05,57.38
158,2024-01-23,North,Sophia,Desk,Furniture,15,284.38,0.05,88.36
159,2024-03-20,East,Bob,Chair,Furniture,10,136.32,0.05,94.83
160,2024-04-09,North,Charlie,Chair,Furniture,21,135.43,0.05,63.55
161,2024-01-15,East,Alice,Headphones,Electronics,5,126.9,0,69.27
162,2024-02-13,South,Liam,Laptop,Electronics,12,1510.65,0.15,1103.11
163,2024-04-22,North,Liam,Keyboard,Accessories,18,53.61,0.05,30.59
164,2024-06-08,West,Eva,Monitor,Electronics,26,305.88,0,264.64
165,2024-01-12,West,Alice,Keyboard,Accessories,17,52.2,0.2,27.28
166,2024-02-26,North,Eva,Mouse,Accessories,9,29.17,0.12,15.24
167,2024-06-01,East,Eva,Mouse,Accessories,24,23.17,0,13.22
168,2024-06-17,South,Bob,Keyboard,Accessories,30,41.14,0,21.79
169,2024-02-15,East,Eva,Keyboard,Accessories,28,52.5,0.15,30.25
170,2024-04-18,South,Eva,Keyboard,Accessories,13,48.65,0.05,28.09
171,2024-03-09,South,Charlie,Keyboard,Accessories,22,53.53,0,22.07
172,2024-04-30,West,Eva,Desk,Furniture,21,157.5,0.1,133.58
173,2024-05-24,South,David,Headphones,Electronics,30,145.84,0.12,44.77
174,2024-05-15,West,Alice,Keyboard,Accessories,18,36.07,0.12,33.94
175,2024-06-26,South,Charlie,Desk,Furniture,6,271.87,0,137.67
176,2024-02-29,East,Alice,Mouse,Accessories,3,24.51,0.12,10.93
177,2024-01-18,West,Bob,Mouse,Accessories,18,20.9,0.1,19.96
178,2024-01-01,East,Eva,Chair,Furniture,2,98.06,0.12,85.54
179,2024-05-17,South,Bob,Headphones,Electronics,2,126.71,0.1,42.14
180,2024-01-17,South,Liam,Mouse,Accessories,19,27.24,0.1,15.79
181,2024-03-22,East,Bob,Monitor,Electronics,12,409.29,0.05,292.99
182,2024-03-10,North,Charlie,Desk,Furniture,15,217.37,0.15,152.16
